lab_id,model_id,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0014,0009,4.2317073170731705,3.5714285714285716,4.214285714285714,4.5227272727272725,4.3375,4,4.781609195402299,3.75531914893617
MF0014,0010,4.670731707317073,3.230769230769231,2.619047619047619,3.977272727272727,5.2375,2.5357142857142856,4.333333333333333,3.0106382978723403
MF0015,0001,5.085365853658536,4.923076923076923,1.9285714285714286,2.6818181818181817,5.525,1.880952380952381,3.057471264367816,4.712765957446808
MF0015,0002,4,3.967032967032967,3.0357142857142856,4.238636363636363,4.7,3.2857142857142856,4.436781609195402,4.148936170212766
MF0015,0003,4.390243902439025,3.4725274725274726,2.2142857142857144,3.7954545454545454,4.8875,2.369047619047619,3.954022988505747,3.4361702127659575
MF0015,0004,4.634146341463414,3.5604395604395602,2.1904761904761907,3.5681818181818183,4.7,2.0714285714285716,3.7011494252873565,3.265957446808511
MF0015,0006,4.719512195121951,4.142857142857143,2.357142857142857,3.965909090909091,5.525,NA,NA,NA
MF0015,0007,3.9146341463414633,3.3736263736263736,2.9642857142857144,3.8636363636363638,4.9,3.130952380952381,4.275862068965517,3.606382978723404
MF0015,0008,4.134146341463414,3.934065934065934,3.5952380952380953,4.2272727272727275,5.4125,3.357142857142857,4.252873563218391,3.5425531914893615
MF0015,0010,4.170731707317073,3.1648351648351647,3.6666666666666665,4.8522727272727275,4.9625,3.988095238095238,4.816091954022989,2.9680851063829787
MF0015,0011,4.304878048780488,2.934065934065934,2.1785714285714284,3.3863636363636362,4.75,NA,NA,NA
MF0015,0012,4.195121951219512,3.7142857142857144,2.9166666666666665,3.727272727272727,4.8,3.1904761904761907,4.195402298850575,3.648936170212766
MF0015,0013,3.975609756097561,3.1758241758241756,3.4047619047619047,4.011363636363637,4.8375,3.6785714285714284,4.459770114942529,3.478723404255319
MF0016,0001,4.451219512195122,3.340659340659341,3.0952380952380953,4.306818181818182,5.3,3.7023809523809526,4.551724137931035,3.521276595744681
MF0016,0002,4.048780487804878,3.7362637362637363,3.7738095238095237,4.318181818181818,5.2,3.6666666666666665,4.793103448275862,3.4680851063829787
MF0016,0003,3.8902439024390243,3.7252747252747254,3.0952380952380953,3.9318181818181817,4.8375,3.142857142857143,4.252873563218391,3.627659574468085
MF0016,0004,3.8902439024390243,4.406593406593407,2.9642857142857144,3.6136363636363638,5.55,3.0476190476190474,3.896551724137931,4.308510638297872
MF0016,0005,3.9146341463414633,3.857142857142857,3.380952380952381,4.011363636363637,5.4,3.357142857142857,4.2298850574712645,3.5531914893617023
MF0016,0006,4.073170731707317,3.7252747252747254,3.1547619047619047,3.8181818181818183,4.9375,2.8095238095238093,3.5632183908045976,3.6914893617021276
MF0016,0007,3.7560975609756095,3.2637362637362637,2.6904761904761907,3.8295454545454546,4.5125,2.7142857142857144,4.137931034482759,3.0638297872340425
MF0016,0008,3.5,4.252747252747253,2.7738095238095237,3.8863636363636362,4.75,3,3.7126436781609193,4.053191489361702
MF0016,0009,4,4.5054945054945055,3.5238095238095237,3.8863636363636362,5.1,3.238095238095238,3.7701149425287355,3.9574468085106385
MF0016,0010,3.8048780487804876,4.142857142857143,3.0833333333333335,3.4886363636363638,4.025,2.988095238095238,4.114942528735632,3.74468085106383
MF0017,0004,4.085365853658536,3.967032967032967,4.154761904761905,4.613636363636363,5.7375,4.130952380952381,4.390804597701149,3.797872340425532
MF0017,0005,4.2073170731707314,3.8461538461538463,4.369047619047619,4.806818181818182,5.5,4.238095238095238,4.632183908045977,4.0212765957446805
MF0017,0006,3.902439024390244,3.5054945054945055,3.7857142857142856,4.556818181818182,4.9,4.464285714285714,5,4.276595744680851
MF0017,0007,3.7195121951219514,3.8241758241758244,3.630952380952381,3.977272727272727,5.2125,3.7738095238095237,4.057471264367816,3.5531914893617023
MF0017,0008,4.170731707317073,4.142857142857143,3.119047619047619,3.9886363636363638,5.5875,3.3333333333333335,3.9080459770114944,3.9574468085106385
MF0017,0009,4.097560975609756,3.912087912087912,3.8452380952380953,4.329545454545454,4.9625,4.380952380952381,4.64367816091954,4.6063829787234045
MF0017,0010,4.182926829268292,3.6373626373626373,2.511904761904762,3.909090909090909,4.4875,2.4285714285714284,3.781609195402299,3.8297872340425534
MF0017,0011,4.109756097560975,3.5604395604395602,4.214285714285714,5.079545454545454,5.125,4.404761904761905,4.942528735632184,3.606382978723404
MF0017,0013,4.304878048780488,3.2637362637362637,4.083333333333333,4.761363636363637,5.175,4.142857142857143,5,3.617021276595745
MF0018,0001,3.9878048780487805,4.428571428571429,4.071428571428571,4.306818181818182,5.975,3.8333333333333335,4.425287356321839,4.23404255319149
MF0018,0002,4,3.5384615384615383,3.619047619047619,4.431818181818182,5.1125,4.678571428571429,4.574712643678161,3.74468085106383
MF0018,0003,3.8780487804878048,4.285714285714286,4.559523809523809,4.863636363636363,5.425,3.857142857142857,4.574712643678161,4.117021276595745
MF0018,0004,3.7195121951219514,4.1208791208791204,3.6785714285714284,4.4772727272727275,4.925,3.8452380952380953,4.505747126436781,4.053191489361702
MF0018,0005,4.2560975609756095,3.4505494505494507,4.273809523809524,5.1477272727272725,5.35,4.083333333333333,4.724137931034483,4.148936170212766
MF0018,0006,4.073170731707317,5.043956043956044,3.5357142857142856,3.8181818181818183,5.9,3.2738095238095237,3.5057471264367814,4.872340425531915
MF0018,0007,3.597560975609756,4.417582417582418,3.5,4.159090909090909,4.9125,3.75,4.091954022988506,4.446808510638298
MF0018,0008,4.109756097560975,5.065934065934066,3.6547619047619047,3.5568181818181817,5.725,3.0952380952380953,3.3563218390804597,4.808510638297872
MF0018,0009,3.7560975609756095,3.89010989010989,3.5595238095238093,4.5,4.825,NA,NA,NA
MF0018,0010,3.9146341463414633,4.021978021978022,3.8333333333333335,4.420454545454546,5.4375,3.6904761904761907,4.287356321839081,3.74468085106383
MF0018,0011,4.2317073170731705,4.230769230769231,2.892857142857143,3.9204545454545454,5.475,3.0238095238095237,4.275862068965517,3.9361702127659575
MF0021,0001,4,3.3736263736263736,4.178571428571429,4.909090909090909,5.425,4.261904761904762,4.666666666666667,3.276595744680851
MF0021,0002,4.878048780487805,3.1758241758241756,2.392857142857143,3.9886363636363638,4.55,2.3095238095238093,3.9770114942528734,3.117021276595745
MF0021,0003,3.951219512195122,3.3626373626373627,3.0476190476190474,4.670454545454546,5.1625,2.8333333333333335,4.436781609195402,3.617021276595745
MF0021,0004,4.536585365853658,4.758241758241758,3.7976190476190474,4.113636363636363,6.0625,3.8214285714285716,3.839080459770115,4.531914893617022
MF0021,0005,4.414634146341464,3.681318681318681,2.8095238095238093,3.7954545454545454,4.5875,2.9642857142857144,4.183908045977011,3.6702127659574466
MF0021,0007,4.012195121951219,3.4065934065934065,3.3095238095238093,4.420454545454546,4.9625,3.392857142857143,4.114942528735632,3.648936170212766
MF0021,0008,4.085365853658536,3.4065934065934065,3.8452380952380953,4.136363636363637,5.1875,3.392857142857143,3.6091954022988504,3.9893617021276597
MF0021,0009,4.719512195121951,3.9450549450549453,3.2142857142857144,4.193181818181818,5.7875,3.630952380952381,4.827586206896552,3.893617021276596
MF0021,0010,4.402439024390244,3.8461538461538463,3.369047619047619,4.454545454545454,5.7625,3.0476190476190474,4.2298850574712645,3.595744680851064
MF0022,0001,4.2926829268292686,3.89010989010989,4.511904761904762,4.693181818181818,5.9875,4.107142857142857,4.9655172413793105,3.521276595744681
MF0022,0002,4.085365853658536,3.923076923076923,3.3095238095238093,4.318181818181818,5.2125,3.2857142857142856,4,4.138297872340425
MF0022,0003,4.487804878048781,3.67032967032967,2.5952380952380953,3.590909090909091,4.3125,2.8214285714285716,3.6091954022988504,3.776595744680851
MF0022,0004,4,3.89010989010989,3.7976190476190474,4.5,4.125,3.5357142857142856,4.0344827586206895,3.8297872340425534
MF0022,0005,4.219512195121951,4.1208791208791204,4.678571428571429,5.1022727272727275,5.9125,4.511904761904762,5.195402298850575,4
MF0022,0006,3.926829268292683,4.197802197802198,3.6666666666666665,4.238636363636363,5.5,3.1904761904761907,4.827586206896552,3.24468085106383
MF0022,0007,4.7560975609756095,3.5494505494505493,4.654761904761905,4.7727272727272725,5.4125,4.035714285714286,4.655172413793103,3.75531914893617
MF0022,0008,3.8658536585365852,3.989010989010989,3.5,4,4.7625,3.142857142857143,4.045977011494253,4.053191489361702
MF0022,0009,4.085365853658536,4.483516483516484,3.8095238095238093,4.25,5.75,3.7023809523809526,4.620689655172414,4.276595744680851
